timestamp;red;blue
17921;;0
17960;;0
18018;;0
18036;;0
18046;;0
18063;;0
18073;;0
18090;196;
18162;;0
18175;;0
18250;1054;
18265;;-1
18301;;0
18302;;0
18314;;0
18370;;0
18415;;0
18444;;0
18454;;0
18477;;0
18486;;0
18626;;0
18708;;0
18733;;0
18758;;0
18777;1071;
18781;;9
18814;;0
18843;;0
18985;190;
19037;;0
19055;;0
19075;204;
19091;916;
19099;;0
19108;;0
19171;;0
19172;;0
19182;1062;
19222;;0
19280;;-1
19294;;0
19455;;0
19497;;0
19520;;0
19572;;0
19597;;0
19602;;0
19606;1077;
19629;;0
19651;;0
19675;;0
19706;;0
19722;;0
19759;;40
19830;;0
19885;1068;
19924;197;
19990;;0
20056;;0
20104;;0
20171;;0
20279;;0
20308;;0
20311;;0
20317;;0
20327;;0
20363;;-1
20385;;0
20393;;-1
20397;;0
20515;;0
20539;;0
20581;;0
20598;;0
20676;;0
20723;;0
20735;825;
20750;;0
20755;;2
20788;;-5
20801;;0
20849;1074;
20855;;0
20886;;0
20887;;0
20903;215;
20914;219;
20919;;-1
20934;;0
20969;;35
20987;;0
21002;;0
21086;;0
21134;;0
21194;;0
21197;;0
21260;;0
21265;;0
21306;;1
21309;;0
21404;;1
21407;;0
21438;;0
21461;;0
21476;;2
21606;1221;
21643;;0
21664;;0
21727;;0
21765;;0
21776;;0
21829;;0
21842;;0
21858;;0
21872;370;
21901;;0
21932;;0
21958;;0
22004;179;
22036;;0
22047;;0
22100;326;
22129;;0
22181;;1
22185;;1
22200;;0
22225;;-1
22248;;0
22336;;0
22345;;0
22448;;0
22510;;0
22511;;0
22529;;-1
22531;;0
22547;;-5
22588;;0
22713;;0
22733;;0
22955;196;
22969;;-3
22974;;0
23103;;0
23130;;0
23163;;0
23209;1121;
23211;;0
23231;;0
23242;;0
23271;654;
23276;;0
23282;;0
23306;;-1
23336;;2
23364;;0
23407;;0
23414;175;
23449;;0
23551;;0
23555;;0
23562;;0
23569;357;
23574;;0
23726;;0
23773;;0
24022;;0
24050;117;
24084;;1
24095;;0
24374;200;
24464;;0
24555;;0
24603;;0
24606;;0
24676;;0
24738;;0
24774;;0
24777;;0
24868;;0
24906;;0
24972;;0
24980;;1
24988;;0
24998;;0
25014;;0
25014;;-10
25027;;0
25082;;0
25083;;0
25128;;0
25141;;0
25248;;0
25330;;0
25416;;0
25440;;0
25443;;0
25647;932;
25670;195;
25775;;0
25837;357;
25873;;0
25891;;0
26037;;0
26068;;0
26103;;0
26273;;0
26311;;1
26396;195;
26406;;0
26458;;0
26525;;0
26549;;-5
26562;;-2
26572;;0
26660;;0
26768;188;
26896;199;
26924;;0
27002;;0
27005;;0
27010;;0
27019;;0
27026;;0
27083;;0
27204;;0
27259;;0
27268;;0
27269;;0
27279;;0
27328;;0
27344;;0
27368;;0
27444;193;
27517;;0
27543;195;
27778;;0
27815;;0
27835;;0
27883;516;
27958;;0
27980;;0
28137;;0
28163;;0
28236;;0
28425;;0
28495;;0
28580;;0
28699;;0
28799;;-3
28960;1111;
29051;;-1
29152;;0
29190;;0
29244;;0
29353;;0
29430;;1
29532;;0
29577;;0
29642;;0
29924;;0
30057;;0
30182;;0
30631;;0
30787;;0
30812;1104;
30819;;0
30864;;0
31251;225;
31270;;2
31372;;0
31415;;1
31650;;0
31691;221;
31771;;0
31832;;0
31925;;0
32009;;0
32190;;0
32239;;0
32325;;0
32712;;0
32861;;0
33229;696;
33331;;0
33368;;2
33450;;1
33464;;0
33989;;0
34230;;0
34277;;0
34589;;0
34762;191;
34801;;0
35013;;0
35333;668;
35413;;0
35478;;0
35510;;0
35521;;0
35684;;0
36093;;0
36620;518;
36688;;1
36779;;0
36889;;-23
37855;;0
37904;;-1
37948;;-33
38333;;0
38785;;-1
39082;;0
39124;199;
39152;;0
39590;;0
39609;;0
40482;1072;
40563;;0
40716;;0
41647;;0
42146;;0
42740;;0
42778;;1
43681;;0
44051;;0
44185;;0
44241;;0
44306;;0
44342;;-5
45462;;0
45623;;0
46097;;-1
46471;;0
47383;;0
47603;189;
47791;;0
48215;;0
49377;;0
49449;195;
50016;;22
50018;;0
53845;;-34
53995;;0
54253;;2
54589;;0
56617;;0
57216;;0
58288;126;
58547;;0
60114;;0
61976;;-3
67876;;0
70565;;0
121529;198;
122068;;0
126588;;0
129730;;0
131072;170.00000000043988;
131520;;0
137844;;0
140452;;0
144074;;0
202579;206;
203094;;0
206175;;0
50529027;2.654298149136936;
